[2024-05-05T07:49:58.321+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_7.csv uploaded to pm25_cleaned/2024-05-04_7.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.372+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-01_23.csv uploaded to pm25_cleaned/2024-05-01_23.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.418+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_1.csv uploaded to pm25_cleaned/2024-05-04_1.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.473+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_0.csv uploaded to pm25_cleaned/2024-05-03_0.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.533+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_9.csv uploaded to pm25_cleaned/2024-05-05_9.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.584+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_7.csv uploaded to pm25_cleaned/2024-05-05_7.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.637+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_8.csv uploaded to pm25_cleaned/2024-05-05_8.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.697+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_12.csv uploaded to pm25_cleaned/2024-05-04_12.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.749+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_3.csv uploaded to pm25_cleaned/2024-05-03_3.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.795+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-02_20.csv uploaded to pm25_cleaned/2024-05-02_20.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.841+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_3.csv uploaded to pm25_cleaned/2024-05-05_3.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.892+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-05_2.csv uploaded to pm25_cleaned/2024-05-05_2.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.940+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-03_8.csv uploaded to pm25_cleaned/2024-05-03_8.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:58.989+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_13.csv uploaded to pm25_cleaned/2024-05-04_13.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:59.236+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/all_data.csv uploaded to pm25_cleaned/all_data.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:59.276+0000] {gcs.py:557} INFO - File /opt/***/dags/data/cleaned/2024-05-04_11.csv uploaded to pm25_cleaned/2024-05-04_11.csv in dw-projec-swu-ds525 bucket
[2024-05-05T07:49:59.277+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-05-05T07:49:59.285+0000] {taskinstance.py:1205} INFO - Marking task as SUCCESS. dag_id=sample, task_id=upload_clean_to_gcs, execution_date=20240505T060912, start_date=20240505T074953, end_date=20240505T074959
[2024-05-05T07:49:59.311+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-05-05T07:49:59.330+0000] {taskinstance.py:3482} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-05-05T07:49:59.339+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
